,azimuth_angle_bins,max_elevation_angles (deg),radial_distances (m),heights (m),longitude,latitude
959,95.9,4.829786131338475,7361.303843238164,622.0,-90.38958333333333,79.41180555555556
960,96.0,4.809081267554384,8082.540429985439,680.0,-90.35458333333334,79.41097222222223
961,96.10000000000001,4.8122173236129,7364.549939701755,620.0,-90.38958333333333,79.41152777777778
962,96.2,4.890826270597504,8051.985635053419,689.0,-90.35625,79.41069444444445
963,96.30000000000001,4.861724212764535,8018.121251222259,682.0,-90.35791666666667,79.41069444444445
964,96.4,4.864452167689009,8072.353831480815,687.0,-90.35541666666667,79.41041666666666
965,96.5,8.466280742179235,134.3639971398851,20.0,-90.74125,79.41847222222222
966,96.60000000000001,4.992496006424861,7818.5193971140125,683.0,-90.36791666666667,79.41041666666666
967,96.7,5.073648499513938,7974.404631431734,708.0,-90.36041666666667,79.4101388888889
968,96.80000000000001,5.124261961544639,7872.921459116836,706.0,-90.36541666666666,79.4101388888889
969,96.9,5.165415914069748,7754.54854210956,701.0,-90.37125,79.4101388888889
970,97.0,5.240506097261173,7893.589588485847,724.0,-90.36458333333333,79.40986111111111
971,97.10000000000001,5.344774504596003,7792.1711357771765,729.0,-90.36958333333334,79.40986111111111
972,97.2,5.280976445621079,7724.570420582996,714.0,-90.37291666666667,79.40986111111111
973,97.30000000000001,5.40330743620159,7812.989554361484,739.0,-90.36875,79.40958333333333
974,97.4,5.378524794012329,7796.096402989615,734.0,-90.36958333333334,79.40958333333333
975,97.5,5.833411013871557,117.45650339187348,12.0,-90.74208333333333,79.41847222222222
976,97.60000000000001,5.400533379543726,7817.026689201043,739.0,-90.36875,79.40930555555556
977,97.7,5.363165709428124,7871.814361026253,739.0,-90.36625,79.40902777777778
978,97.80000000000001,5.393371855556987,7838.060100585162,740.0,-90.36791666666667,79.40902777777778
979,97.9,5.312916691906674,7892.933213770029,734.0,-90.36541666666666,79.40875
980,98.0,5.364499881493009,7859.195809166478,738.0,-90.36708333333333,79.40875
981,98.10000000000001,5.255682016460555,7914.153198247788,728.0,-90.36458333333333,79.40847222222222
982,98.2,5.325415311472657,7863.574019039054,733.0,-90.36708333333333,79.40847222222222
983,98.30000000000001,5.177897183446675,7813.001680732093,708.0,-90.36958333333334,79.40847222222222
984,98.4,5.289467016318459,7884.920677642468,730.0,-90.36625,79.40819444444445
985,98.5,5.134829709045851,7834.375014556895,704.0,-90.36875,79.40819444444445
986,98.60000000000001,5.264793657941453,7889.527008262821,727.0,-90.36625,79.40791666666667
987,98.7,5.1570428404549595,7855.848854199935,709.0,-90.36791666666667,79.40791666666667
988,98.80000000000001,5.225673881330669,7894.251776017639,722.0,-90.36625,79.40763888888888
989,98.9,5.200709848965616,7877.422377725262,717.0,-90.36708333333333,79.40763888888888
990,99.0,5.143149956938256,7932.735648325611,714.0,-90.36458333333333,79.40736111111111
991,99.10000000000001,5.146840359216766,7915.914749667307,713.0,-90.36541666666666,79.40736111111111
992,99.2,5.114870185535985,7954.486986026287,712.0,-90.36375,79.40708333333333
993,99.30000000000001,5.089840461143891,7937.675622660185,707.0,-90.36458333333333,79.40708333333333
994,99.4,5.086680674758414,7976.335267604657,710.0,-90.36291666666666,79.40680555555555
995,99.5,5.090219935221089,7959.533592043805,709.0,-90.36375,79.40680555555555
996,99.60000000000001,5.030149705783601,7998.279698618233,704.0,-90.36208333333333,79.40652777777778
997,99.7,5.047801000344533,7981.4878600982765,705.0,-90.36291666666666,79.40652777777778
998,99.80000000000001,4.97002639284241,8003.537634362034,696.0,-90.36208333333333,79.40625
999,99.9,4.944815508849886,7986.75685045044,691.0,-90.36291666666666,79.40625
1000,100.0,4.864253773950601,8025.682127653036,683.0,-90.36125,79.40597222222222
1001,100.10000000000001,4.85308274550591,8008.911509039456,680.0,-90.36208333333333,79.40597222222222
1002,100.2,4.7491293146378615,8064.682022248658,670.0,-90.35958333333333,79.40569444444445
1003,100.30000000000001,5.999043486433879,256.9291005393167,27.0,-90.73541666666667,79.41819444444444
1004,100.4,4.724775406241086,7271.5995001338115,601.0,-90.39791666666666,79.40680555555555
1005,100.5,4.820918468826014,7327.481557562161,618.0,-90.39541666666666,79.40652777777778
1006,100.60000000000001,4.878594690202943,7310.736722305965,624.0,-90.39625,79.40652777777778
1007,100.7,4.728832544170124,7349.9535668837625,608.0,-90.39458333333333,79.40625
1008,100.80000000000001,4.893688180413268,7299.75847372538,625.0,-90.39708333333333,79.40625
1009,100.9,4.7751904750454965,7266.302124051929,607.0,-90.39875,79.40625
1010,101.0,4.816500482211854,7322.366888183701,617.0,-90.39625,79.40597222222222
1011,101.10000000000001,8.056880855962255,240.1921369643935,34.0,-90.73625,79.41819444444444
1012,101.2,4.7164635814286235,7345.075402018331,606.0,-90.39541666666666,79.40569444444445
1013,101.30000000000001,4.904684267362618,7294.96608182175,626.0,-90.39791666666666,79.40569444444445
1014,101.4,4.817464880481947,7261.567576932027,612.0,-90.39958333333334,79.40569444444445
1015,101.5,4.780610961425122,7317.8109816125825,612.0,-90.39708333333333,79.40541666666667
1016,101.60000000000001,4.799279446282376,7301.12345911324,613.0,-90.39791666666666,79.40541666666667
